,states,City,Population,total_crimes,Aggravated Assault,Simple Assault,Intimidation,Murder and Nonnegligent Manslaughter,Negligent Man- slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/ Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,"Sex Offenses, Non- forcible",Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism of Property,Embezzle- ment,Extortion/ Blackmail,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imper- sonation,Welfare Fraud,Wire Fraud,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin Op- erated Machine or Device,Theft From Motor Vehicle,Theft of  Motor  Vehicle Parts or Acces- sories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Por- nography/ Obscene Material,Pros- titution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations
21,ARKANSAS,Bethel Heights,2497,178.0,2,10,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,25,0,0,1,0,0,0,0,0,0,0,4,0,13,1,27,3,0,5,32,35,0,0,0,0,0,0,0,0,2
22,ARKANSAS,Blytheville,14717,2424.0,195,247,215,6,0,0,0,0,0,2,12,1,0,5,2,0,2,1,0,487,44,431,0,0,36,61,1,0,1,0,0,123,9,4,47,12,303,14,78,0,53,3,0,0,0,0,5,0,0,0,24
23,ARKANSAS,Bono,2166,132.0,1,7,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,9,1,18,0,0,0,2,0,0,0,0,1,3,2,0,9,0,20,0,0,0,28,21,0,0,0,0,0,0,0,0,2
24,ARKANSAS,Booneville,3924,331.0,10,51,12,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,28,4,32,0,0,4,5,3,0,0,0,2,53,8,0,4,2,44,2,2,5,27,22,0,0,0,0,0,0,0,0,4
25,ARKANSAS,Bradford,755,69.0,2,13,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,1,11,0,0,1,0,0,0,0,0,0,2,4,0,6,0,4,1,0,1,3,1,0,0,0,0,0,0,0,0,1
26,ARKANSAS,Brinkley,2909,341.0,26,50,18,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5,0,39,5,61,0,0,0,3,1,0,0,0,0,6,0,0,4,1,77,5,6,2,12,8,0,0,0,0,0,0,0,0,7
27,ARKANSAS,Brookland,3499,118.0,11,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,8,0,0,2,3,0,0,0,0,0,0,6,0,5,0,23,0,0,0,23,11,0,0,0,0,0,0,0,0,2
28,ARKANSAS,Bryant,20404,1573.0,0,85,58,0,0,0,0,0,0,1,9,0,0,3,0,0,0,2,0,230,70,123,0,0,45,72,0,0,0,0,0,313,0,0,4,0,409,36,7,27,62,11,0,0,0,0,1,0,0,0,5
29,ARKANSAS,Bull Shoals,1951,54.0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,8,0,0,0,2,0,0,0,0,0,1,1,0,0,1,6,1,0,1,7,3,0,0,0,0,0,0,0,0,0
30,ARKANSAS,Cabot,26064,1492.0,33,254,156,0,1,0,0,0,0,2,6,2,0,3,0,0,0,2,0,108,51,231,0,0,2,49,39,0,0,1,3,103,43,0,77,8,158,17,6,7,65,49,0,0,0,0,6,0,0,0,10
31,ARKANSAS,Caddo Valley,606,75.0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,4,0,0,0,4,0,0,0,0,0,3,1,0,3,0,23,1,0,2,5,3,0,0,0,0,0,0,0,0,1
32,ARKANSAS,Camden,11423,1189.0,100,161,118,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,0,146,33,127,0,0,16,5,2,0,0,12,1,34,17,1,48,8,226,14,11,2,67,21,0,0,0,0,1,0,0,0,6
33,ARKANSAS,Cammack Village,750,30.0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,1,5,2,0,0,0,0,0,0,0,0,1
34,ARKANSAS,Caraway,1259,39.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,2,1,1,0,0,0,0,0,0,0,0,0
35,ARKANSAS,Carlisle,2198,164.0,5,19,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,13,5,10,0,0,1,4,1,0,2,0,0,3,4,0,6,0,31,4,1,1,19,16,0,0,0,0,1,1,0,0,4
36,ARKANSAS,Cave City,1860,67.0,3,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,0,0,0,0,3,2,0,3,0,9,2,0,0,12,5,0,0,0,0,0,0,0,0,1
37,ARKANSAS,Cave Springs,2672,101.0,7,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,16,0,0,0,1,1,0,0,0,0,0,3,0,4,0,14,0,0,1,14,15,0,0,0,0,0,0,0,0,3
38,ARKANSAS,Centerton,11635,412.0,22,56,57,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,9,3,35,0,0,25,8,2,0,0,0,0,6,14,1,12,3,41,5,1,9,40,44,0,0,0,0,1,0,0,0,4
39,ARKANSAS,Charleston,2494,131.0,7,14,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,8,18,0,0,4,3,2,0,0,0,0,5,4,0,2,1,19,1,0,2,9,1,0,0,0,0,0,0,0,0,5
40,ARKANSAS,Cherokee Village,4568,194.0,1,28,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,29,0,32,0,0,8,3,0,0,0,0,0,0,1,0,0,0,45,4,0,0,22,16,0,0,0,0,0,0,0,0,1
